id,source,price,fetched_at,created_at
1,tgju,405740.00,2026-08-19 00:32:18,2026-08-18 21:03:23.954522
2,silfam,398120.00,2026-08-19 00:33:00,2026-08-18 21:03:29.048125
3,noghresea,395090.00,2026-08-19 00:33:29,2026-08-18 21:03:29.764693
4,tgju,406530.00,2026-08-19 01:31:26,2026-08-18 22:04:29.528092
5,silfam,398120.00,2026-08-19 01:34:00,2026-08-18 22:04:34.21528
6,noghresea,395090.00,2026-08-19 01:34:34,2026-08-18 22:04:34.907072
7,tgju,405520.00,2026-08-19 02:02:18,2026-08-18 23:01:11.102201
8,silfam,398120.00,2026-08-19 02:31:00,2026-08-18 23:01:34.838357
9,noghresea,395090.00,2026-08-19 02:31:35,2026-08-18 23:01:35.512494
10,tgju,399800.00,2026-08-19 03:26:23,2026-08-19 00:01:55.826658
11,silfam,398120.00,2026-08-19 03:31:00,2026-08-19 00:02:01.158383
12,noghresea,395090.00,2026-08-19 03:32:01,2026-08-19 00:02:01.846541
13,tgju,399650.00,2026-08-19 04:20:24,2026-08-19 01:02:34.777787
14,silfam,398120.00,2026-08-19 04:32:00,2026-08-19 01:02:39.96508
15,noghresea,395090.00,2026-08-19 04:32:40,2026-08-19 01:02:40.66672
17,silfam,398120.00,2026-08-19 05:34:00,2026-08-19 02:04:49.458503
16,tgju,397080.00,2026-08-19 05:34:16,2026-08-19 02:04:44.576147
18,noghresea,395090.00,2026-08-19 05:34:49,2026-08-19 02:04:50.140087
19,tgju,403560.00,2026-08-19 06:14:20,2026-08-19 03:00:18.093179
20,silfam,398120.00,2026-08-19 06:30:00,2026-08-19 03:00:22.415984
21,noghresea,395090.00,2026-08-19 06:30:22,2026-08-19 03:00:23.045068
23,silfam,398120.00,2026-08-19 07:32:00,2026-08-19 04:02:18.253559
24,noghresea,395090.00,2026-08-19 07:32:18,2026-08-19 04:02:18.847299
25,tgju,400730.00,2026-08-19 08:32:22,2026-08-19 05:04:22.304743
26,silfam,398120.00,2026-08-19 08:34:00,2026-08-19 05:04:38.197714
27,noghresea,395090.00,2026-08-19 08:34:38,2026-08-19 05:04:39.555182
28,tgju,404180.00,2026-08-19 09:23:22,2026-08-19 06:00:52.034995
29,silfam,398120.00,2026-08-19 09:30:00,2026-08-19 06:01:17.235637
30,noghresea,395090.00,2026-08-19 09:31:17,2026-08-19 06:01:17.935505
31,tgju,407550.00,2026-08-19 10:23:22,2026-08-19 07:00:40.562998
32,silfam,398120.00,2026-08-19 10:30:00,2026-08-19 07:00:45.346753
33,noghresea,393470.00,2026-08-19 10:30:45,2026-08-19 07:00:45.974122
